Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
Gladiator,155 min,8.5,67,Action,$187.17M,"219,043"
The Croods,98 min,7.2,55,Animation,$186.85M,"460,646"
Sherlock Holmes: A Game of Shadows,129 min,7.4,48,Action,$186.74M,"454,967"
The Day After Tomorrow,124 min,6.4,47,Action,$186.34M,"504,156"
Mr. & Mrs. Smith,120 min,6.5,55,Action,$184.30M,"160,425"
Pitch Perfect 2,115 min,6.4,63,Comedy,$183.64M,"814,747"
The Revenant,156 min,8,76,Action,$183.42M,"582,677"
Ocean's Eleven,116 min,7.7,74,Crime,$183.37M,"219,708"
The Polar Express,100 min,6.6,61,Animation,$183.14M,"334,896"
The Simpsons Movie,87 min,7.3,80,Animation,$182.81M,"211,371"
What Women Want,127 min,6.4,47,Comedy,$182.62M,"170,601"
The Perfect Storm,130 min,6.5,59,Action,$182.21M,"263,392"
Lincoln,150 min,7.3,86,Biography,$181.17M,"326,729"
Jurassic Park III,92 min,5.9,42,Action,$181.03M,"857,154"
Thor,115 min,7,57,Action,$180.20M,"675,417"
Ant-Man,117 min,7.3,64,Action,$180.01M,"222,067"
Planet of the Apes,119 min,5.7,50,Action,$180.01M,"232,534"
Madagascar: Escape 2 Africa,89 min,6.6,61,Animation,$179.88M,"510,515"
X-Men Origins: Wolverine,107 min,6.5,40,Action,$179.50M,"321,849"
Hitch,118 min,6.6,58,Comedy,$179.02M,"368,289"
Men in Black 3,106 min,6.8,58,Action,$177.40M,"104,646"
Home,94 min,6.6,55,Animation,$177.24M,"201,054"
Night at the Museum: Battle of the Smithsonian,105 min,6,42,Adventure,$177.00M,"341,438"
How to Train Your Dragon 2,102 min,7.8,77,Animation,$176.76M,"534,324"
Rise of the Planet of the Apes,105 min,7.6,68,Action,$176.65M,"852,986"
Captain America: The First Avenger,124 min,6.9,66,Action,$176.59M,"189,119"
The Karate Kid,140 min,6.2,61,Action,$176.39M,"489,736"
Ice Age,81 min,7.5,61,Animation,$176.24M,"468,487"
The Bourne Supremacy,108 min,7.7,73,Action,$176.04M,"624,457"
Get Out,104 min,7.7,85,Horror,$175.75M,"155,576"
The Lego Batman Movie,104 min,7.3,75,Animation,$175.08M,"307,145"
Us,116 min,6.8,81,Horror,$175.00M,"130,400"
The Boss Baby,97 min,6.3,50,Animation,$174.53M,"176,577"
Crazy Rich Asians,120 min,6.9,74,Comedy,$174.34M,"287,310"
The Greatest Showman,105 min,7.5,48,Biography,$173.96M,"216,976"
Fast & Furious Presents: Hobbs & Shaw,137 min,6.5,60,Action,$173.40M,"284,663"
Elf,97 min,7.1,64,Adventure,$173.01M,"338,845"
National Treasure,131 min,6.9,40,Action,$172.56M,"317,962"
Pirates of the Caribbean: Dead Men Tell No Tales,129 min,6.5,39,Action,$172.06M,"341,813"
Tron: Legacy,125 min,6.8,49,Action,$171.96M,"90,086"
Mary Poppins Returns,130 min,6.7,66,Adventure,$171.24M,"343,473"
True Grit,110 min,7.6,80,Drama,$171.02M,"352,502"
John Wick: Chapter 3 - Parabellum,130 min,7.4,73,Action,$170.74M,"939,412"
A Beautiful Mind,135 min,8.2,72,Biography,$170.69M,"233,259"
Chicago,113 min,7.2,81,Comedy,$169.71M,"464,406"
The Help,146 min,8.1,62,Drama,$169.70M,"131,283"
Hotel Transylvania 2,89 min,6.6,44,Animation,$169.61M,"235,176"
G.I. Joe: The Rise of Cobra,118 min,5.7,32,Action,$169.11M,"295,811"
Bridesmaids,125 min,6.8,75,Comedy,$168.37M,"453,739"
Quantum of Solace,106 min,6.6,58,Action,$168.27M,"120,179"
Wild Hogs,100 min,5.8,27,Action,$168.05M,"324,456"
Kong: Skull Island,118 min,6.6,62,Action,$167.77M,"993,257"
Gone Girl,149 min,8.1,79,Drama,$167.51M,"76,778"
Hotel Transylvania 3: Summer Vacation,97 min,6.3,54,Animation,$167.45M,"664,111"
Casino Royale,144 min,8,80,Action,$166.24M,"340,107"
Meet the Parents,108 min,7,73,Comedy,$166.17M,"323,273"
Fifty Shades of Grey,125 min,4.2,46,Drama,$166.11M,"382,373"
2012,158 min,5.8,49,Action,$165.36M,"705,459"
Knives Out,130 min,7.9,82,Comedy,$165.25M,"292,029"
Kung Fu Panda 2,90 min,7.2,67,Animation,$165.09M,"279,238"
Hannibal,131 min,6.8,57,Crime,$164.62M,"997,525"
Catch Me If You Can,141 min,8.1,75,Biography,$163.96M,"334,207"
The Proposal,108 min,6.7,48,Comedy,$163.57M,"520,628"
The Pursuit of Happyness,117 min,8,64,Biography,$163.21M,"285,361"
Clash of the Titans,106 min,5.8,39,Action,$162.99M,"56,965"
The SpongeBob Movie: Sponge Out of Water,92 min,6,62,Animation,$162.81M,"1,570,482"
Django Unchained,165 min,8.4,81,Drama,$162.43M,"230,794"
Jason Bourne,123 min,6.6,58,Action,$162.00M,"256,625"
Grown Ups,102 min,5.9,30,Comedy,$161.32M,"213,021"
Ice Age: Continental Drift,88 min,6.5,49,Animation,$161.20M,"205,801"
Straight Outta Compton,147 min,7.8,72,Biography,$160.94M,"221,986"
Die Another Day,133 min,6.1,56,Action,$160.86M,"186,888"
Shark Tale,90 min,6,48,Animation,$160.80M,"133,292"
How to Train Your Dragon: The Hidden World,104 min,7.4,71,Animation,$160.07M,"237,455"
A Quiet Place Part II,97 min,7.2,71,Drama,$159.58M,"174,899"
The Heat,117 min,6.6,60,Action,$159.56M,"288,577"
Fantastic Beasts: The Crimes of Grindelwald,134 min,6.5,52,Adventure,$159.34M,"157,963"
Halloween,106 min,6.5,67,Crime,$159.23M,"602,994"
1917,119 min,8.2,78,Action,$158.87M,"63,935"
The Secret Life of Pets 2,86 min,6.4,55,Animation,$158.85M,"249,154"
Star Trek Beyond,122 min,7,68,Action,$158.12M,"183,517"
The Longest Yard,113 min,6.4,48,Comedy,$157.30M,"621,425"
X-Men,104 min,7.3,64,Action,$157.02M,"266,454"
Scary Movie,88 min,6.2,48,Comedy,$155.46M,"128,979"
What Lies Beneath,130 min,6.6,51,Drama,$155.44M,"440,516"
X-Men: Apocalypse,144 min,6.9,52,Action,$155.33M,"292,866"
Snow White and the Huntsman,127 min,6.1,57,Action,$155.19M,"242,188"
San Andreas,114 min,6.1,43,Action,$155.06M,"291,705"
Fast & Furious,107 min,6.5,46,Action,$155.02M,"178,737"
Over the Hedge,83 min,6.7,67,Animation,$154.70M,"333,404"
Fantastic Four,106 min,5.7,40,Action,$154.53M,"143,371"
Horton Hears a Who!,86 min,6.8,71,Animation,$154.06M,"1,013,536"
Mad Max: Fury Road,120 min,8.1,90,Action,$153.71M,"84,264"
Trolls,92 min,6.4,55,Animation,$153.29M,"116,724"
Scooby-Doo,86 min,5.2,35,Adventure,$152.90M,"104,601"
Cars 3,102 min,6.7,59,Animation,$152.65M,"123,576"
Sex and the City,145 min,5.7,53,Comedy,$152.27M,"210,517"
Ready Player One,140 min,7.4,64,Action,$151.10M,"600,391"
La La Land,128 min,8,94,Comedy,$150.95M,"466,097"
Divergent,139 min,6.6,48,Action,$150.39M,"456,784"
We're the Millers,110 min,7,44,Comedy,$150.37M,"404,141"
Terminator 3: Rise of the Machines,109 min,6.3,66,Action,$150.36M,"122,782"
Daddy's Home,96 min,6.1,42,Comedy,$150.16M,"315,343"
Neighbors,97 min,6.3,68,Comedy,$150.12M,"483,960"
American Hustle,138 min,7.2,90,Crime,$149.26M,"172,970"
Puss in Boots,90 min,6.6,65,Animation,$148.97M,"143,106"
Sonic the Hedgehog,99 min,6.5,47,Action,$148.81M,"333,516"
Les Misérables,158 min,7.5,63,Drama,$148.73M,"373,427"
Knocked Up,129 min,6.9,85,Comedy,$148.42M,"269,246"
